[-28.9375, -54.0, -106.625]
[-28.9375, -54.0, -106.625]
[-34.5, -43.9375, -80.875]
[-34.5, -43.9375, -80.875]
[-57.0625, -30.0625, -68.6875]
[-57.0625, -30.0625, -68.6875]
[-68.1875, -8.875, -58.875]
[-68.1875, -8.875, -58.875]
[-58.375, 12.6875, -33.5]
[-58.375, 12.6875, -33.5]
[-58.375, 12.6875, -33.5]
[-50.625, 40.0, -5.8125]
[-49.25, 56.9375, 1.625]
[-49.25, 56.9375, 1.625]
[-49.25, 56.9375, 1.625]
[-52.0625, 53.75, 2.5]
[-39.4375, 43.125, 4.5]
[-39.4375, 43.125, 4.5]
[-21.9375, 30.1875, 3.1875]
[-21.9375, 30.1875, 3.1875]
[-15.25, 16.25, 5.0]
[-15.25, 16.25, 5.0]
[-11.5, 4.625, 1.6875]
[-11.5, 4.625, 1.6875]
[-13.4375, 0.4375, 5.0]
[-13.4375, 0.4375, 5.0]
[-17.375, 8.5625, 8.5]
[-17.375, 8.5625, 8.5]
[-20.75, 11.3125, 0.875]
[-15.5, 6.0, 0.75]
[-15.5, 6.0, 0.75]
[-15.5, 6.0, 0.75]
[-4.0, 0.5625, 3.5625]
[-4.0, 0.5625, 3.5625]
[2.875, -2.4375, 3.4375]
[9.9375, -6.5625, 1.875]
[9.9375, -6.5625, 1.875]
[9.9375, -6.5625, 1.875]
[17.0625, -12.8125, 0.875]
[17.0625, -12.8125, 0.875]
[28.1875, -19.875, 0.5625]
[42.625, -25.5625, 0.375]
[42.625, -25.5625, 0.375]
[42.625, -25.5625, 0.375]
[54.375, -25.75, -0.9375]
[54.375, -25.75, -0.9375]
[62.375, -19.4375, 0.3125]
[63.8125, -13.25, 0.9375]
[63.8125, -13.25, 0.9375]
[61.5, -4.25, -0.0625]
[61.5, -4.25, -0.0625]
[61.5, -4.25, -0.0625]
[50.4375, 3.1875, 7.75]
[50.4375, 3.1875, 7.75]
[53.875, 17.375, 22.375]
[53.875, 17.375, 22.375]
[85.625, 34.625, 34.9375]
[85.625, 34.625, 34.9375]
[103.625, 44.9375, 52.5625]
[99.5, 52.875, 67.125]
[101.25, 67.5, 80.8125]
[101.25, 67.5, 80.8125]
[101.25, 67.5, 80.8125]
[120.6875, 112.0, 99.125]
[120.6875, 112.0, 99.125]
[110.3125, 132.125, 112.875]
[110.3125, 132.125, 112.875]
[110.3125, 132.125, 112.875]
[105.0, 156.5625, 124.9375]
[105.0, 156.5625, 124.9375]
[110.0625, 177.25, 128.75]
[88.75, 179.4375, 137.4375]
[88.75, 179.4375, 137.4375]
[88.75, 179.4375, 137.4375]
[72.625, 175.75, 144.375]
[72.625, 175.75, 144.375]
[72.625, 175.75, 144.375]
[77.75, 172.5, 146.0625]
[79.75, 169.5, 146.0]
[79.75, 169.5, 146.0]
[79.75, 169.5, 146.0]
[46.5, 140.9375, 143.375]
[46.5, 140.9375, 143.375]
[24.0625, 131.75, 139.5625]
[24.0625, 131.75, 139.5625]
[6.375, 126.5625, 127.75]
[6.375, 126.5625, 127.75]
[3.125, 123.8125, 113.25]
[3.125, 123.8125, 113.25]
[-0.875, 120.3125, 102.0]
[-0.875, 120.3125, 102.0]
[7.125, 109.375, 93.625]
[7.125, 109.375, 93.625]
[-6.5625, 95.0, 86.375]
[-6.5625, 95.0, 86.375]
[-36.375, 77.125, 79.0]
[-36.375, 77.125, 79.0]
[-53.5, 63.9375, 73.25]
[-53.5, 63.9375, 73.25]
[-47.625, 55.875, 67.25]
[-47.625, 55.875, 67.25]
[-25.875, 46.375, 63.875]
[-25.875, 46.375, 63.875]
[-22.125, 33.1875, 63.75]
[-22.125, 33.1875, 63.75]
[-22.125, 33.1875, 63.75]
[-33.1875, 23.1875, 65.8125]
[-39.1875, 16.3125, 65.375]
[-39.1875, 16.3125, 65.375]
[-39.1875, 16.3125, 65.375]
[-17.6875, 15.375, 59.5625]
[-17.6875, 15.375, 59.5625]
[-8.875, 17.6875, 49.375]
[-29.875, 12.625, 31.75]
[-29.875, 12.625, 31.75]
[-79.0, 0.375, 23.8125]
[-79.0, 0.375, 23.8125]
[-78.375, -24.875, 33.375]
[-78.375, -24.875, 33.375]
[-65.0625, -45.5, 82.5625]
[-65.0625, -45.5, 82.5625]
[17.1875, -70.875, 139.4375]
[17.1875, -70.875, 139.4375]
[144.375, -54.8125, 103.9375]
[144.375, -54.8125, 103.9375]
[-22.75, -60.0, 24.875]
[-22.75, -60.0, 24.875]
[-82.6875, -38.625, -0.375]
[-82.6875, -38.625, -0.375]
[18.625, -19.5, -4.4375]
[18.625, -19.5, -4.4375]
[19.375, -18.875, 2.4375]
[19.375, -18.875, 2.4375]
[-15.625, -20.875, -0.6875]
[-15.625, -20.875, -0.6875]
[-15.625, -20.875, -0.6875]
[-4.5, -9.375, -7.875]
[3.8125, 1.3125, -3.9375]
[3.8125, 1.3125, -3.9375]
[3.8125, 1.3125, -3.9375]
[9.0625, 6.625, 1.5]
[9.0625, 6.625, 1.5]
[10.4375, 3.4375, 0.0625]
[4.5, -1.6875, -6.3125]
[4.5, -1.6875, -6.3125]
[4.5, -1.6875, -6.3125]
[0.0, -2.875, -12.625]
[1.625, -2.75, -16.4375]
[1.625, -2.75, -16.4375]
[3.5, -3.6875, -22.4375]
[3.5, -3.6875, -22.4375]
[3.5, -3.6875, -22.4375]
[6.75, -10.6875, -28.625]
[6.75, -10.6875, -28.625]
[17.0625, -26.5, -42.3125]
[7.5625, -52.1875, -58.5625]
[7.5625, -52.1875, -58.5625]
[-8.6875, -72.6875, -74.5]
[-8.6875, -72.6875, -74.5]
[-9.0, -80.375, -92.0625]
[-9.0, -80.375, -92.0625]
[-7.125, -85.5625, -102.75]
[-7.125, -85.5625, -102.75]
[-7.8125, -95.125, -116.3125]
[-7.8125, -95.125, -116.3125]
[-7.8125, -95.125, -116.3125]
[-18.1875, -107.6875, -136.625]
[-18.1875, -107.6875, -136.625]
[-39.4375, -124.125, -156.75]
[-39.4375, -124.125, -156.75]
[-63.875, -141.3125, -168.625]
[-63.875, -141.3125, -168.625]
[-78.5, -153.125, -175.6875]
[-78.5, -153.125, -175.6875]
[-81.0, -156.8125, -180.8125]
[-91.375, -157.9375, -186.875]
[-91.375, -157.9375, -186.875]
[-107.6875, -159.25, -193.3125]
[-107.6875, -159.25, -193.3125]
[-133.75, -154.75, -200.25]
[-133.75, -154.75, -200.25]
[-152.1875, -143.25, -199.3125]
[-152.1875, -143.25, -199.3125]
[-152.1875, -143.25, -199.3125]
[-134.5625, -122.5, -183.125]
[-134.5625, -122.5, -183.125]
[-134.5625, -122.5, -183.125]
[-113.25, -83.9375, -141.375]
[-113.25, -83.9375, -141.375]
[-113.25, -83.9375, -141.375]
[-115.8125, -64.3125, -130.0]
[-115.8125, -64.3125, -130.0]
[-114.5, -57.0625, -115.5]
[-104.625, -57.125, -98.8125]
[-104.625, -57.125, -98.8125]
[-101.625, -51.0, -78.1875]
[-101.625, -51.0, -78.1875]
[-101.625, -51.0, -78.1875]
[-93.5625, -32.5, -57.4375]
[-78.0, -17.375, -47.125]
[-78.0, -17.375, -47.125]
[-78.0, -17.375, -47.125]
[-78.0, -17.375, -47.125]
[-78.0, -17.375, -47.125]
[-53.0, -0.4375, -18.4375]
[-53.0, -0.4375, -18.4375]
[-53.0, -0.4375, -18.4375]
[-39.6875, 20.8125, -5.3125]
[-39.6875, 20.8125, -5.3125]
[-39.6875, 20.8125, -5.3125]
[-23.0, 47.875, 1.0625]
[-23.0, 47.875, 1.0625]
