[-62.875, -27.625, 60.8125]
[-35.0, -36.1875, 74.625]
[-15.5625, -45.625, 99.75]
[-15.5625, -45.625, 99.75]
[38.1875, -39.125, 145.0625]
[38.1875, -39.125, 145.0625]
[38.1875, -39.125, 145.0625]
[82.125, -42.0, 170.625]
[101.5, -30.1875, 141.5625]
[101.5, -30.1875, 141.5625]
[-8.3125, -37.375, 77.0]
[-8.3125, -37.375, 77.0]
[-32.5625, -38.375, 52.25]
[-32.5625, -38.375, 52.25]
[-32.5625, -38.375, 52.25]
[25.25, -15.5625, 38.4375]
[19.9375, -3.0625, 21.875]
[19.9375, -3.0625, 21.875]
[-1.1875, -6.625, 2.6875]
[-1.1875, -6.625, 2.6875]
[-11.3125, -5.0625, -5.3125]
[-11.3125, -5.0625, -5.3125]
[-1.125, 5.6875, -7.75]
[-1.125, 5.6875, -7.75]
[7.3125, 11.25, -12.5625]
[7.3125, 11.25, -12.5625]
[0.6875, 9.0, -15.8125]
[0.6875, 9.0, -15.8125]
[-4.6875, 5.375, -17.8125]
[-4.6875, 5.375, -17.8125]
[-4.0, 1.1875, -19.625]
[-4.0, 1.1875, -19.625]
[-5.75, 0.125, -17.5]
[-5.75, 0.125, -17.5]
[-3.25, 3.1875, -14.8125]
[-3.25, 3.1875, -14.8125]
[-1.5625, 4.0625, -14.125]
[-1.5625, 4.0625, -14.125]
[-3.9375, -0.625, -15.375]
[-3.9375, -0.625, -15.375]
[-8.6875, -6.1875, -17.6875]
[-8.6875, -6.1875, -17.6875]
[-16.125, -7.6875, -21.9375]
[-16.125, -7.6875, -21.9375]
[-19.5625, -5.3125, -27.0]
[-19.5625, -5.3125, -27.0]
[-14.3125, -7.9375, -34.625]
[-14.3125, -7.9375, -34.625]
[-14.3125, -7.9375, -34.625]
[-12.9375, -21.1875, -46.5625]
[-12.9375, -21.1875, -46.5625]
[-12.9375, -21.1875, -46.5625]
[-30.5, -37.9375, -59.25]
[-30.5, -37.9375, -59.25]
[-40.8125, -50.0625, -62.875]
[-40.8125, -50.0625, -62.875]
[-35.375, -57.9375, -66.6875]
[-29.75, -80.8125, -94.125]
[-29.75, -80.8125, -94.125]
[-29.75, -80.8125, -94.125]
[-43.125, -86.1875, -114.75]
[-43.125, -86.1875, -114.75]
[-62.1875, -89.5625, -133.625]
[-70.375, -92.875, -143.0625]
[-70.375, -92.875, -143.0625]
[-70.375, -92.875, -143.0625]
[-73.75, -96.1875, -143.8125]
[-73.75, -96.1875, -143.8125]
[-73.75, -96.1875, -143.8125]
[-72.875, -90.875, -149.625]
[-72.875, -90.875, -149.625]
[-68.75, -82.3125, -154.9375]
[-68.75, -82.3125, -154.9375]
[-68.75, -82.3125, -154.9375]
[-95.9375, -83.6875, -138.4375]
[-95.4375, -75.1875, -128.5]
[-95.4375, -75.1875, -128.5]
[-95.4375, -75.1875, -128.5]
[-95.4375, -75.1875, -128.5]
[-73.625, -61.875, -120.125]
[-73.625, -61.875, -120.125]
[-61.625, -54.0, -111.9375]
[-61.625, -54.0, -111.9375]
[-73.625, -50.3125, -96.25]
[-82.25, -40.0, -78.75]
[-82.25, -40.0, -78.75]
[-66.75, -25.6875, -65.8125]
[-51.75, -17.0, -54.625]
[-51.75, -17.0, -54.625]
[-49.9375, -15.25, -44.5625]
[-49.9375, -15.25, -44.5625]
[-45.625, -10.75, -31.9375]
[-45.625, -10.75, -31.9375]
[-48.3125, -3.375, -20.75]
[-48.3125, -3.375, -20.75]
[-48.875, 3.3125, -12.125]
[-48.875, 3.3125, -12.125]
[-48.875, 3.3125, -12.125]
[-42.875, 6.4375, -6.75]
[-41.6875, 7.875, -3.25]
[-41.6875, 7.875, -3.25]
[-43.3125, 9.0625, -4.125]
[-43.3125, 9.0625, -4.125]
[-41.4375, 11.0625, -2.375]
[-41.4375, 11.0625, -2.375]
[-34.125, 14.6875, 1.125]
[-34.125, 14.6875, 1.125]
[-34.125, 14.6875, 1.125]
[-23.5625, 14.6875, 2.875]
[-23.5625, 14.6875, 2.875]
[-21.9375, 8.375, 2.75]
[-21.9375, 8.375, 2.75]
