[100.125, 71.75, 44.625]
[100.125, 71.75, 44.625]
[100.125, 71.75, 44.625]
[114.4375, 89.375, 66.25]
[121.9375, 110.3125, 96.8125]
[121.9375, 110.3125, 96.8125]
[121.9375, 110.3125, 96.8125]
[121.9375, 110.3125, 96.8125]
[121.9375, 110.3125, 96.8125]
[121.9375, 110.3125, 96.8125]
[136.125, 166.9375, 179.6875]
[136.125, 166.9375, 179.6875]
[136.125, 166.9375, 179.6875]
[136.125, 166.9375, 179.6875]
[144.5, 176.8125, 210.625]
[144.5, 176.8125, 210.625]
[144.5, 176.8125, 210.625]
[153.6875, 178.1875, 215.75]
[153.6875, 178.1875, 215.75]
[153.6875, 178.1875, 215.75]
[147.9375, 168.0, 210.1875]
[147.9375, 168.0, 210.1875]
[147.9375, 168.0, 210.1875]
[127.6875, 154.25, 198.75]
[110.875, 138.0, 179.0625]
[110.875, 138.0, 179.0625]
[99.4375, 123.25, 156.875]
[99.4375, 123.25, 156.875]
[99.4375, 123.25, 156.875]
[68.625, 88.4375, 117.125]
[68.625, 88.4375, 117.125]
[68.625, 88.4375, 117.125]
[56.8125, 70.375, 96.5625]
[56.8125, 70.375, 96.5625]
[56.8125, 70.375, 96.5625]
[48.25, 51.75, 72.1875]
[48.25, 51.75, 72.1875]
[48.25, 51.75, 72.1875]
[48.25, 51.75, 72.1875]
[48.25, 51.75, 72.1875]
[48.25, 51.75, 72.1875]
[-0.25, -2.8125, -14.0]
[-0.25, -2.8125, -14.0]
[-39.1875, -33.0, -77.0]
[-46.875, -42.75, -112.4375]
[-46.875, -42.75, -112.4375]
[-46.875, -42.75, -112.4375]
[-46.4375, -52.8125, -154.3125]
[-46.4375, -52.8125, -154.3125]
[-56.5, -67.875, -200.125]
[-56.5, -67.875, -200.125]
[-69.0, -83.8125, -254.6875]
[-69.0, -83.8125, -254.6875]
[-83.8125, -102.0625, -309.1875]
[-83.8125, -102.0625, -309.1875]
[-101.0, -118.3125, -362.8125]
[-132.9375, -128.3125, -415.8125]
[-132.9375, -128.3125, -415.8125]
[-156.8125, -129.625, -461.75]
[-156.8125, -129.625, -461.75]
[-156.8125, -129.625, -461.75]
[-156.8125, -129.625, -461.75]
[-162.8125, -121.5625, -502.125]
[-132.125, -102.5625, -535.125]
[-132.125, -102.5625, -535.125]
[-121.5625, -93.1875, -557.4375]
[-121.5625, -93.1875, -557.4375]
[-135.1875, -93.75, -563.25]
[-141.0625, -80.625, -559.75]
[-141.0625, -80.625, -559.75]
[-141.0625, -80.625, -559.75]
[-135.4375, -64.625, -536.0625]
[-135.4375, -64.625, -536.0625]
[-123.5, -43.0, -481.5]
[-123.5, -43.0, -481.5]
[-123.75, -18.1875, -402.875]
[-119.875, -1.3125, -330.625]
[-119.875, -1.3125, -330.625]
[-119.875, -1.3125, -330.625]
[-136.375, 1.375, -257.6875]
[-136.375, 1.375, -257.6875]
[-136.375, 1.375, -257.6875]
[-113.6875, 0.75, -193.3125]
[-113.6875, 0.75, -193.3125]
[-113.6875, 0.75, -193.3125]
[-54.4375, 4.25, -142.1875]
[-11.3125, 7.6875, -101.0625]
[-11.3125, 7.6875, -101.0625]
[6.625, 7.8125, -66.75]
[3.625, 10.1875, -28.25]
[3.625, 10.1875, -28.25]
[-22.9375, 15.875, 12.75]
[-22.9375, 15.875, 12.75]
[-50.3125, 21.25, 52.0]
[-50.3125, 21.25, 52.0]
[-67.6875, 22.75, 90.8125]
[-67.6875, 22.75, 90.8125]
[-70.8125, 19.5625, 124.6875]
[-52.1875, 13.75, 155.125]
[-52.1875, 13.75, 155.125]
[-22.3125, 4.8125, 180.0625]
[-22.3125, 4.8125, 180.0625]
[9.25, -6.9375, 198.875]
[9.25, -6.9375, 198.875]
[44.25, -21.0625, 215.25]
[44.25, -21.0625, 215.25]
[70.375, -32.75, 232.5625]
[70.375, -32.75, 232.5625]
[92.5, -40.5625, 250.75]
[92.5, -40.5625, 250.75]
[103.1875, -48.875, 261.875]
[103.1875, -48.875, 261.875]
[102.3125, -57.5, 268.0]
[102.3125, -57.5, 268.0]
[101.5625, -64.875, 272.0]
[101.5625, -64.875, 272.0]
[101.5625, -64.875, 272.0]
[122.75, -69.75, 273.75]
[122.875, -73.625, 271.9375]
[122.875, -73.625, 271.9375]
[122.875, -73.625, 271.9375]
[99.0625, -83.9375, 258.0]
[99.0625, -83.9375, 258.0]
[75.625, -91.1875, 241.375]
[75.625, -91.1875, 241.375]
[65.125, -97.0625, 227.25]
[65.125, -97.0625, 227.25]
[65.125, -97.0625, 227.25]
[65.125, -97.0625, 227.25]
[21.8125, -114.25, 178.8125]
[15.625, -116.125, 138.375]
[15.625, -116.125, 138.375]
[15.625, -116.125, 138.375]
[38.375, -111.1875, 110.4375]
[38.375, -111.1875, 110.4375]
[21.9375, -114.625, 95.0625]
[21.9375, -114.625, 95.0625]
[-9.4375, -118.6875, 74.3125]
[-15.75, -117.5625, 46.375]
[-15.75, -117.5625, 46.375]
[2.5, -104.625, 20.875]
[2.5, -104.625, 20.875]
[5.0625, -93.6875, 9.75]
[5.0625, -93.6875, 9.75]
[-17.75, -86.125, 2.8125]
[-17.75, -86.125, 2.8125]
[-29.9375, -72.9375, -3.8125]
[-29.9375, -72.9375, -3.8125]
[-24.3125, -55.0, -11.9375]
