[26.5625, -16.0625, 5.0625]
[26.5625, -16.0625, 5.0625]
[26.5625, -16.0625, 5.0625]
[27.6875, -17.125, 3.375]
[30.6875, -13.4375, 9.375]
[30.6875, -13.4375, 9.375]
[36.625, 3.0625, 26.6875]
[36.625, 3.0625, 26.6875]
[68.5625, 32.625, 54.9375]
[68.5625, 32.625, 54.9375]
[110.875, 68.8125, 88.9375]
[110.875, 68.8125, 88.9375]
[139.0625, 99.0625, 132.9375]
[164.9375, 131.4375, 178.9375]
[164.9375, 131.4375, 178.9375]
[164.9375, 131.4375, 178.9375]
[199.75, 160.5, 211.375]
[199.75, 160.5, 211.375]
[249.625, 183.8125, 237.5625]
[301.9375, 194.25, 248.75]
[301.9375, 194.25, 248.75]
[330.5625, 193.4375, 249.625]
[330.5625, 193.4375, 249.625]
[337.75, 199.5, 248.1875]
[337.75, 199.5, 248.1875]
[310.5625, 201.8125, 238.375]
[310.5625, 201.8125, 238.375]
[272.75, 197.6875, 225.25]
[272.75, 197.6875, 225.25]
[242.375, 185.625, 206.9375]
[242.375, 185.625, 206.9375]
[242.375, 185.625, 206.9375]
[221.5, 174.6875, 179.3125]
[186.9375, 158.0625, 145.3125]
[186.9375, 158.0625, 145.3125]
[137.75, 128.75, 119.1875]
[137.75, 128.75, 119.1875]
[95.6875, 93.3125, 109.625]
[95.6875, 93.3125, 109.625]
[66.5625, 62.625, 107.625]
[66.5625, 62.625, 107.625]
[54.3125, 43.6875, 96.875]
[54.3125, 43.6875, 96.875]
[65.75, 37.9375, 79.9375]
[65.75, 37.9375, 79.9375]
[68.8125, 34.5, 67.3125]
[68.8125, 34.5, 67.3125]
[59.9375, 24.5625, 58.4375]
[59.9375, 24.5625, 58.4375]
[31.75, 14.875, 47.0625]
[31.75, 14.875, 47.0625]
[11.5625, 10.4375, 34.5625]
[11.5625, 10.4375, 34.5625]
[14.625, 16.375, 22.1875]
[36.9375, 24.75, 6.6875]
[36.9375, 24.75, 6.6875]
[36.9375, 24.75, 6.6875]
[38.25, 19.0, -1.125]
[38.25, 19.0, -1.125]
[-4.3125, 5.1875, -26.6875]
[-3.125, 9.25, -24.6875]
[-3.125, 9.25, -24.6875]
[-3.125, 9.25, -24.6875]
[38.4375, 35.5625, -28.5625]
[38.4375, 35.5625, -28.5625]
[51.6875, 50.8125, -37.4375]
[39.9375, 55.6875, -40.5]
[39.9375, 55.6875, -40.5]
[39.9375, 55.6875, -40.5]
[19.9375, 63.9375, -25.3125]
[19.9375, 63.9375, -25.3125]
[36.3125, 77.75, -14.875]
[62.5625, 80.125, -28.5625]
[62.5625, 80.125, -28.5625]
[62.5625, 80.125, -28.5625]
[96.5625, 80.9375, -46.3125]
[96.5625, 80.9375, -46.3125]
[124.25, 79.8125, -58.4375]
[124.25, 79.8125, -58.4375]
[131.9375, 55.5, -57.625]
[131.9375, 55.5, -57.625]
[143.25, 29.9375, -54.9375]
[143.25, 29.9375, -54.9375]
[190.0, 30.5625, -61.75]
[223.875, 50.9375, -69.25]
[223.875, 50.9375, -69.25]
[223.875, 50.9375, -69.25]
[220.1875, 58.4375, -80.25]
[220.1875, 58.4375, -80.25]
[204.25, 63.8125, -94.8125]
[181.9375, 63.6875, -107.6875]
[181.9375, 63.6875, -107.6875]
[181.9375, 63.6875, -107.6875]
[181.9375, 63.6875, -107.6875]
[107.5, 24.125, -163.5625]
[107.5, 24.125, -163.5625]
[75.8125, -5.0625, -173.6875]
[75.8125, -5.0625, -173.6875]
[75.8125, -5.0625, -173.6875]
[12.25, -46.4375, -165.4375]
[12.25, -46.4375, -165.4375]
[-31.25, -66.3125, -132.4375]
[-31.25, -66.3125, -132.4375]
[0.625, -57.25, -89.8125]
[47.5625, -59.8125, -59.75]
[47.5625, -59.8125, -59.75]
[58.4375, -68.875, -20.0]
[58.4375, -68.875, -20.0]
[58.4375, -68.875, -20.0]
[76.5, -74.125, 22.5]
[58.9375, -88.625, 53.5625]
[58.9375, -88.625, 53.5625]
[44.75, -96.625, 56.0]
[44.75, -96.625, 56.0]
[49.75, -90.0625, 50.6875]
[49.75, -90.0625, 50.6875]
[62.5, -82.4375, 30.5625]
[62.5, -82.4375, 30.5625]
[34.5, -70.875, 8.9375]
[34.5, -70.875, 8.9375]
[-0.3125, -43.9375, 9.5625]
[-0.3125, -43.9375, 9.5625]
[-0.3125, -43.9375, 9.5625]
[8.4375, -1.9375, 9.75]
[38.875, 27.5, 4.0625]
[38.875, 27.5, 4.0625]
[38.875, 27.5, 4.0625]
[45.5625, 47.625, -21.5]
[45.5625, 47.625, -21.5]
[45.5625, 47.625, -21.5]
[29.5, 41.0, -38.0]
[29.5, 41.0, -38.0]
[11.125, 25.8125, -52.875]
[11.125, 25.8125, -52.875]
[-9.4375, -4.5625, -66.5]
[-9.4375, -4.5625, -66.5]
[-43.8125, -48.3125, -78.125]
[-43.8125, -48.3125, -78.125]
[-90.5625, -95.8125, -75.375]
[-90.5625, -95.8125, -75.375]
[-104.375, -112.375, -48.8125]
[-104.375, -112.375, -48.8125]
[-47.875, -113.4375, -14.75]
[-38.6875, -144.125, 11.6875]
[-38.6875, -144.125, 11.6875]
[-92.75, -186.0, 33.0625]
[-92.75, -186.0, 33.0625]
[-92.75, -186.0, 33.0625]
[-151.0625, -225.5625, 39.625]
[-176.875, -261.8125, 21.9375]
[-176.875, -261.8125, 21.9375]
[-176.875, -261.8125, 21.9375]
[-210.5, -295.5, -2.0]
[-252.375, -331.625, -21.3125]
[-252.375, -331.625, -21.3125]
[-295.4375, -363.875, -42.3125]
[-295.4375, -363.875, -42.3125]
[-295.4375, -363.875, -42.3125]
[-295.4375, -363.875, -42.3125]
[-339.125, -373.5625, -94.25]
[-339.125, -373.5625, -94.25]
[-339.125, -373.5625, -94.25]
[-327.4375, -375.0, -108.0625]
[-243.75, -366.125, -119.25]
[-243.75, -366.125, -119.25]
[-243.75, -366.125, -119.25]
[-208.0, -348.125, -110.375]
[-208.0, -348.125, -110.375]
[-188.375, -317.6875, -97.6875]
[-128.4375, -276.5, -76.8125]
[-128.4375, -276.5, -76.8125]
[-128.4375, -276.5, -76.8125]
[-76.625, -226.25, -56.3125]
[-80.4375, -168.25, -26.875]
[-80.4375, -168.25, -26.875]
